ecosite_class,ecosite_area_km2,ecosite_area_percent,trail_length_km,trail_length_percent,trail_area_percent_within_ecosite,trail_km_per_km2
Coniferous Forest,9.57934239265385,19.2022449036474,525.879061576407,15.4035140087551,15.4035140087551,54.8971985780245
Deciduous Forest,2.79655578975016,5.60582835025051,115.167878708226,3.37338023636642,3.37338023636642,41.1820422572422
High-Density Treed Fen,24.3023289102549,48.7151677365216,1612.78699136092,47.240114371727,47.240114371727,66.3634747647731
Low-density Treed Fen,10.376210393045,20.7996045001813,1165.80498904291,34.1475726878506,34.1475726878506,112.353638263188
Mixed Forest,2.83213796795206,5.67715450939919,111.520645904713,3.26654920678769,3.26654920678769,39.3768408060129
